Dept,Course,Last Name,Term,Year,Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Course Workload,I would recommend this course,I attended class,Inspired to learn subject matter,Number Invited,Number of Survey Responses,Course Code
FGI,Functional FrenchIntermediate FSL205Y5YLEC0101,Hong,Winter,2020,42,43,45,44,45,42,26,42,,45,41,13,FSL205Y5
FGI,Functional FrenchNovice FSL105H5SLEC0101,Phillips,Winter,2020,42,41,4,42,42,34,29,39,,39,26,11,FSL105H5
UMBIO,Plant Ecology BIO330H5SLEC0101,Kotanen,Winter,2020,42,46,46,44,43,43,27,42,,43,59,15,BIO330H5
UMMGT,Presentation Skills Management MGT200H5SLEC0101,CarverDias,Winter,2020,42,48,5,4,46,46,3,48,,5,13,5,MGT200H5
UMPHL,Prac Reason  Human Action PHL341H5SLEC0101,Clark,Winter,2020,42,42,45,43,45,41,3,39,,4,64,29,PHL341H5
ENGDR,Shakespeare in the Theatre DRE226H5SLEC0101,Syme,Winter,2020,42,48,47,39,42,42,32,43,,43,31,12,DRE226H5
FGI,Language Acquisition of French FRE325H5SLEC0101,Steele,Winter,2020,42,45,45,36,36,33,39,3,,32,21,11,FRE325H5
UMSOC,Law Punishment Social Control SOC211H5SLEC0101,Richer,Winter,2020,42,44,44,42,43,41,32,41,,39,184,40,SOC211H5
UMECO,Public Policy Analysis ECO456H5FLEC0101,Oreopoulos,Fall,2019,42,42,42,48,46,42,36,38,,4,9,5,ECO456H5
MCS,Operating Systems CSC369H5FLEC0101,Simion,Fall,2019,42,46,42,44,43,38,47,37,,42,68,16,CSC369H5
MCS,Operating Systems CSC369H5FLEC0102,Simion,Fall,2019,42,45,43,43,44,41,45,34,,36,45,16,CSC369H5
MCS,Scalable Computing CSC409H5FLEC0101,Rosenbloom,Fall,2019,42,43,42,42,42,39,39,39,,39,39,13,CSC409H5
ENGDR,Video Games ENG279H5FLEC0101,OFlynn,Fall,2019,42,41,45,44,46,42,3,42,,38,64,15,ENG279H5
ENGDR,Crit Approaches to Literature ENG280H5FLEC0101,Laughlin,Fall,2019,42,42,46,43,44,4,31,39,,38,88,47,ENG280H5
ENGDR,Fantasy Literature ENG238H5FLEC0101,Laughlin,Fall,2019,42,42,47,43,41,41,29,38,,4,44,24,ENG238H5
FGI,Impact PeerFac Study Groups EDS325H5FLEC0101,Coulson,Fall,2019,42,4,47,42,42,44,24,47,,4,51,23,EDS325H5
FGI,Classical Chinese CHI311H5FLEC0101,Ma,Fall,2019,42,42,43,43,44,41,28,4,,39,78,29,CHI311H5
FGI,Modern Chinese Literature CHI410H5FLEC0101,Ma,Fall,2019,42,42,42,4,43,39,29,39,,37,98,39,CHI410H5
FGI,Business Chinese CHI310H5FLEC0101,Ni,Fall,2019,42,42,43,42,38,37,27,35,,33,40,8,CHI310H5
ICC,Hum Comp Inter  Com CCT380H5FPRA0102,Munteanu,Fall,2019,42,44,43,43,41,34,35,31,,39,39,10,CCT380H5
CHMPS,Fund of Analyt Chem CHM211H5FLEC0101,Piunno,Fall,2019,42,44,47,39,38,39,42,33,,36,141,61,CHM211H5
MCS,Intro to Comp Prog CSC108H5FLEC0108,Vrbik,Fall,2019,42,42,43,39,37,36,34,36,,37,125,36,CSC108H5
UMVIS,Topics in VCC VCC292H5SLEC0101,Heckel,Winter,2020,42,48,44,48,46,41,32,4,,42,41,10,VCC292H5
HISCL,Theory in Women  Gen Studies WGS200Y5YLEC0101,Ellapen,Winter,2020,42,45,36,4,4,38,34,36,,43,88,25,WGS200Y5
UMMGT,Special Topics in Management MGT412H5SLEC0101,Zoican,Winter,2020,42,42,39,4,39,35,35,4,,42,43,13,MGT412H5
UMECO,Special Topics in Economics ECO351H5SLEC0101,Deb,Winter,2020,42,44,42,44,4,42,26,44,,44,16,5,ECO351H5
UMSOC,Sociology of Scandals SOC342H5SLEC0101,Dinovitzer,Winter,2020,42,44,41,37,37,38,32,41,,37,59,13,SOC342H5
ANTRL,Theory  Meth in Molecular Ant ANT436H5FLEC0101,Parra,Fall,2019,42,43,46,44,42,4,32,42,,42,24,14,ANT436H5
ANTRL,Magic and Science ANT363H5FLEC0101,Sanders,Fall,2019,42,43,42,41,41,38,34,38,,38,28,12,ANT363H5
ANTRL,Prec Indig Hist of East NA ANT317H5FLEC0101,Dorland,Fall,2019,42,43,48,41,43,41,32,41,,39,24,18,ANT317H5
FGI,Arab Culture I ARA210H5FLEC0101,Kandil,Fall,2019,42,44,48,45,45,44,3,46,,42,48,37,ARA210H5
UMBIO,Bioinformatics BIO362H5FLEC0101,Ness,Fall,2019,42,43,44,42,42,38,37,37,,41,49,17,BIO362H5
UMGGR,The Climate of the Arctic GGR484H5FLEC0101,Brown,Fall,2019,42,43,43,43,43,4,4,4,,33,16,7,GGR484H5
ANTRL,Ethics Professionalism in FSC FSC271H5FLEC0101,Woodall,Fall,2019,42,44,48,41,43,42,25,42,,41,77,54,FSC271H5
CHMPS,Earth Materials ERS201H5FLEC0101,Ashwell,Fall,2019,42,45,45,41,43,4,36,37,,39,68,55,ERS201H5
MCS,Calculus of Several Variables MAT233H5FLEC0101,Yusun,Fall,2019,42,43,47,44,42,4,34,37,,39,60,18,MAT233H5
MCS,Intro to Number Theory MAT315H5FLEC0101,Shankar,Fall,2019,42,4,44,45,42,42,31,41,,41,38,11,MAT315H5
MCS,Intro to Mathem Proofs MAT102H5FLEC0107,Pawliuk,Fall,2019,42,38,44,37,36,37,36,28,,33,87,22,MAT102H5
FGI,Acoustic Phonetics LIN328H5FLEC0101,Schertz,Fall,2019,42,42,42,44,43,38,39,39,,39,26,14,LIN328H5
CHMPS,Intro to Scientific Computing JCP265H5FLEC0101,Rauscher,Fall,2019,42,43,35,44,46,39,32,43,,42,24,13,JCP265H5
UMSOC,Soc of International Migratn SOC375H5FLEC0101,Maghbouleh,Fall,2019,42,43,43,37,37,39,3,4,,38,58,20,SOC375H5
UMSOC,Adv Topics Crim Law Society SOC448H5FLEC0101,Maurutto,Fall,2019,42,42,44,44,43,42,3,44,,42,50,17,SOC448H5
UMSOC,Politics Violence Spot Diff SOC351H5FLEC0101,Super,Fall,2019,42,41,41,41,4,4,34,37,,38,19,9,SOC351H5
UMPSY,Except Disab  Giftedness PSY345H5FLEC0101,Kamenetsky,Fall,2019,42,44,42,36,38,39,31,39,,36,95,30,PSY345H5
UMPHL,Existentialism PHL220H5FLEC0101,Ware,Fall,2019,42,42,44,4,41,41,22,44,,4,92,41,PHL220H5
UMPHL,The Philosophy of Aristotle PHL302H5FLEC0101,Pineros,Fall,2019,42,45,45,42,44,4,31,39,,35,26,17,PHL302H5
CHMPS,Electromagnetism PHY241H5FLEC0101,Moore,Fall,2019,42,44,4,38,38,38,35,38,,39,36,13,PHY241H5
UMPSY,Intro to Social Psy PSY220H5FLEC0101,Stellar,Fall,2019,42,43,44,38,37,39,28,4,,4,110,37,PSY220H5
CHMPS,Molecular Biophysics PHY332H5FLEC0101,Li,Fall,2019,42,43,4,4,38,33,32,33,,38,10,6,PHY332H5
UMMGT,Prin of Marketing MGT252H5FLEC0103,Goetz,Fall,2019,42,44,45,42,43,42,29,4,,37,54,30,MGT252H5
UMPSY,Theory Psychotherapy PSY343H5FLEC0101,Colasante,Summer,2019,42,45,47,43,44,42,33,4,,42,35,20,PSY343H5
UMSOC,Whitecollar  Corporate Crime SOC303H5FLEC0101,Innocente,Summer,2019,42,46,47,45,45,43,32,43,,44,47,13,SOC303H5
MCS,Calculus MAT135Y5YLEC0111,GlynnAdey,Winter,2019,42,42,47,4,41,38,38,34,,33,117,34,MAT135Y5
UMMGT,Adv Topics in Corp Fin MGT431H5SLEC0102,Aivazian,Winter,2019,42,38,42,33,34,36,32,36,,37,40,9,MGT431H5
UMECO,Internatnl Monetary Economics ECO365H5FLEC0101,Gagnon,Summer,2019,42,41,45,45,44,41,29,4,,39,94,15,ECO365H5
UMBIO,Physiology Regulatory Systems BIO310H5FLEC0101,Abdalahad,Summer,2019,42,43,43,37,38,37,35,36,,38,94,73,BIO310H5
UMPOL,Manag Mil Interntnl Conlfict POL310Y5YLEC0101,Bumgardner,Winter,2019,42,45,43,39,38,38,32,42,,41,60,20,POL310Y5
UMPOL,Pol of Global Govern POL343Y5YLEC0101,Bumgardner,Winter,2019,42,41,41,41,4,38,29,4,,4,73,21,POL343Y5
UMPSY,Perception PSY280H5SLEC0101,Beston,Winter,2019,42,45,46,42,41,4,32,41,,39,136,40,PSY280H5
ICC,Making a Book WRI420H5SLEC0101,Allen,Winter,2019,42,43,42,47,46,41,41,42,,43,17,13,WRI420H5
ICC,Law  Technology and Culture CCT206H5SLEC0101,Thung,Summer,2019,42,4,46,36,41,39,36,38,,36,87,13,CCT206H5
MCS,Linear Algebra II MAT224H5YLEC0101,Mousavidehshikh,Summer,2019,42,44,44,44,43,4,32,36,,37,40,26,MAT224H5
UMBIO,Intro Genetics BIO207H5SLEC0101,Atallah,Summer,2019,42,43,42,39,37,36,34,34,,36,77,44,BIO207H5
MCS,Intro to Mathem Proofs MAT102H5YLEC0101,Wang,Summer,2019,42,42,37,36,37,33,36,28,,32,72,35,MAT102H5
UMPSY,Intro to Social Psy PSY220H5SLEC0101,Impett,Summer,2019,42,44,44,39,4,41,3,42,,4,77,34,PSY220H5
CHMPS,Introductory Physics II PHY137H5SLEC0101,De Benedetti,Summer,2019,42,43,45,37,35,37,37,32,,35,22,13,PHY137H5
UMSOC,Crime  Organizations SOC208H5FLEC0101,Valentine,Summer,2019,42,44,46,42,43,43,3,42,,42,93,26,SOC208H5
FGI,Cucina ItalianaHist  Culture ITA235H5FLEC0101,Lobalsamo,Summer,2019,42,44,49,46,46,43,25,47,,41,40,17,ITA235H5
UMBIO,Ecology BIO205H5FLEC0101,Nunes,Summer,2019,42,44,44,4,4,41,32,39,,37,38,9,BIO205H5
UMBIO,Intro Cell  Molecular Biology BIO206H5FLEC0101,Atallah,Summer,2019,42,45,43,39,4,38,35,36,,41,103,42,BIO206H5
MCS,Intro Stochastic Processes STA348H5FLEC0101,Weir,Fall,2019,42,45,45,37,4,4,28,38,,42,27,6,STA348H5
HISCL,Topics Women  Gender Studies WGS337H5FLEC0101,Grey,Fall,2019,42,41,45,43,43,4,3,42,,41,33,11,WGS337H5
ICC,Expressive Writing WRI203H5FLEC0101,Waterman,Fall,2019,42,43,44,45,45,42,34,39,,4,29,18,WRI203H5
UMBIO,Diversity of Organisms BIO153H5SLEC0101,Nunes,Summer,2019,42,45,46,43,43,41,3,41,,41,39,22,BIO153H5
ICC,Expressive Writing WRI203H5SLEC0106,Carosi,Winter,2019,42,44,47,42,43,41,4,4,,4,30,26,WRI203H5
ICC,Community  Writing WRI325H5SLEC0101,Currie,Winter,2019,42,41,45,43,44,42,37,4,,38,24,17,WRI325H5
CHMPS,Optics PHY347H5SLEC0101,Gradinaru,Winter,2019,42,42,43,43,41,38,37,36,,4,31,24,PHY347H5
MCS,Introduction to Real Analysis MAT337H5SLEC0101,Fuchs,Winter,2019,42,42,46,43,42,38,38,33,,35,54,20,MAT337H5
FGI,Birth of the New Novel FRE468H5SLEC0101,Elkabas,Winter,2019,42,45,45,45,45,4,3,4,,4,11,6,FRE468H5
UMSOC,Special Topics in Criminology SOC300H5SLEC0101,Flores,Winter,2019,42,42,45,43,44,41,28,44,,38,42,25,SOC300H5
UMPSY,Intro Cognitive Psy PSY270H5SLEC0101,Fukuda,Winter,2019,42,43,45,42,42,41,3,4,,38,168,57,PSY270H5
UMMGT,Intro to Personal Finance MGT130H5SLEC0101,Huynh,Winter,2019,42,44,45,41,42,42,24,46,,4,71,40,MGT130H5
UMPSY,Intro to Social Psy PSY220H5SLEC0101,Impett,Winter,2019,42,43,44,39,4,42,29,43,,42,182,60,PSY220H5
ENGDR,Indigenous Literatures ENG274H5SLEC0101,Janes,Winter,2019,42,44,43,41,43,4,33,41,,4,47,23,ENG274H5
UMVIS,Topics in Modern Art Archit FAH390H5SLEC0101,Kanaan,Winter,2019,42,41,42,41,41,37,33,37,,39,32,18,FAH390H5
UMGGR,Geography Enviro Sci Intern JEG401Y5YLEC0101,Leydon,Winter,2019,42,43,42,4,42,38,35,42,,37,12,6,JEG401Y5
UMMGT,Prin of Marketing MGT252H5SLEC0102,Landry,Winter,2019,42,43,45,42,43,41,29,42,,38,49,35,MGT252H5
MCS,Appl Multivariate Stat STA437H5SLEC0101,Kong,Winter,2019,42,45,44,47,45,42,31,41,,4,72,18,STA437H5
UMGGR,Geography of Canada GGR202H5SLEC0101,Laliberte,Winter,2019,42,43,46,41,43,42,28,42,,4,124,31,GGR202H5
UMPHL,Mod Symbolic Logic PHL245H5SLEC0101,Koo,Winter,2019,42,43,45,43,43,42,3,4,,36,364,85,PHL245H5
UMSOC,Sociology of Crime SOC379H5SLEC0101,Levinsky,Winter,2019,42,42,42,39,39,38,32,38,,37,54,13,SOC379H5
CHMPS,Cosmic Evolution AST252H5SLEC0101,Li,Winter,2019,42,43,45,41,41,41,27,42,,4,36,29,AST252H5
UMVIS,Top in Visual Culture  Com VCC290H5SLEC0101,Logan,Winter,2019,42,43,42,38,41,35,32,37,,4,34,22,VCC290H5
UMPSY,Evolutionary Psychology PSY351H5SLEC0101,Lomanowska,Winter,2019,42,44,44,38,42,4,3,41,,39,70,20,PSY351H5
ICC,Interactive Media Design CCT286H5SPRA0101,Lui,Winter,2019,42,43,43,39,4,4,36,36,,37,23,13,CCT286H5
MCS,Comput Complex  Comput CSC363H5SLEC0102,Maccio,Winter,2019,42,44,44,37,39,41,3,35,,38,68,14,CSC363H5
FGI,Language and Computers LIN340H5FLEC0101,Beekhuizen,Fall,2018,42,38,42,32,35,33,37,28,,34,27,13,LIN340H5
CHMPS,Earth Materials ERS201H5FLEC0101,Ashwell,Fall,2018,42,38,36,36,33,33,34,31,,34,47,16,ERS201H5
UMECO,Economics Internship ECO400Y5YLEC0101,Zammit,Winter,2019,42,4,48,41,41,42,29,47,,42,27,13,ECO400Y5
UMECO,Economics of Financ Risk Mgt ECO461H5SLEC0101,Yung,Winter,2019,42,41,42,43,41,38,4,36,,38,19,11,ECO461H5
UMPSY,Human Neuropsychology PSY393H5SLEC0101,Zovkic,Winter,2019,42,42,38,35,35,34,35,37,,38,50,20,PSY393H5
MCS,Data Struct Analys CSC263H5SLEC0103,Zingaro,Winter,2019,42,41,41,39,36,38,35,35,,39,60,13,CSC263H5
MCS,Partial Diff Equatns MAT311H5SLEC0101,Zhang,Winter,2019,42,38,42,4,43,38,32,38,,37,36,9,MAT311H5
UMPHL,Prac Reason  Human Action PHL341H5FLEC0101,Clark,Fall,2018,42,4,44,37,39,41,27,38,,36,51,22,PHL341H5
FGI,Advanced High Chinese I CHI301H5FLEC0201,Chen,Fall,2018,42,41,38,4,41,4,24,39,,35,44,12,CHI301H5
ANTRL,Topics  Political Anthropolgy ANT352H5FLEC0101,Bozcali,Fall,2018,42,45,43,39,45,38,33,42,,43,28,10,ANT352H5
UMVIS,Top in Modern Art/Architecture FAH392H5FLEC0101,Bissett,Fall,2018,42,44,44,45,46,44,3,45,,44,30,13,FAH392H5
UMSOC,Law Punishment Social Control SOC211H5FLEC0101,Klassen,Fall,2018,42,43,45,42,42,42,28,43,,4,182,48,SOC211H5
UMMGT,Can Income Tax 1 MGT423H5FLEC0102,Kitunen,Fall,2018,42,44,46,46,43,42,34,41,,41,31,17,MGT423H5
UMMGT,Business Finance I MGT338H5FLEC0103,Kirsch,Fall,2018,42,44,44,41,42,39,34,4,,42,59,17,MGT338H5
UMPSY,Except Disab  Giftedness PSY345H5FLEC0101,Kamenetsky,Fall,2018,42,46,46,42,4,4,31,41,,41,72,22,PSY345H5
HISCL,Intro to South Asian History HIS282H5FLEC0101,Kasturi,Fall,2018,42,42,38,34,32,33,39,31,,37,23,9,HIS282H5
UMSOC,Sex Gender and Work SOC362H5FLEC0101,Kervin,Fall,2018,42,43,41,38,42,35,3,38,,36,56,11,SOC362H5
UMSOC,Identity Crime SOC423H5FLEC0101,Innocente,Fall,2018,42,42,41,37,38,39,34,38,,42,50,18,SOC423H5
UMSOC,Introduction to Sociology SOC100H5FLEC0101,Innocente,Fall,2018,42,43,45,39,4,4,29,42,,4,459,146,SOC100H5
UMSOC,Shopping and Society SOC317H5FLEC0101,Johnston,Fall,2018,42,43,45,43,42,41,3,43,,38,143,39,SOC317H5
ENGDR,Seminar American Literature ENG435H5FLEC0101,Gniadek,Fall,2018,42,43,46,4,41,4,42,39,,41,18,13,ENG435H5
CHMPS,Advanced Phys Lab PHY324H5FPRA0101,Ghobriel,Fall,2018,42,41,38,43,46,41,39,38,,41,29,12,PHY324H5
MCS,Intro to Mathem Proofs MAT102H5FLEC0102,Fuchs,Fall,2018,42,43,44,4,39,37,34,33,,35,113,47,MAT102H5
IMI,Ess of Accounting Fin  Mng IMI203H5FLEC0101,Falk,Fall,2018,42,47,47,45,45,42,3,45,,42,8,6,IMI203H5
FGI,Functional FrenchNovice FSL105H5FLEC0301,Farsandaj,Fall,2018,42,45,47,45,45,43,28,42,,44,37,20,FSL105H5
HISCL,Canadian Environmental History HIS318H5FLEC0101,Edwards,Fall,2018,42,44,46,42,45,42,3,42,,37,41,15,HIS318H5
UMBIO,Digi Forens Facial Reconstruct HSC405H5FLEC0101,Dryer,Fall,2018,42,49,46,41,41,44,33,46,,44,26,10,HSC405H5
UMECO,Microecon Theory  Apps COM ECO204Y5YLEC0102,Yu,Winter,2019,42,44,46,42,43,41,35,39,,38,147,50,ECO204Y5
ENGDR,Horror Literature ENG239H5SLEC0101,KoenigWoodyard,Winter,2019,42,43,46,39,37,38,29,41,,38,42,11,ENG239H5
ANTRL,Social Learning Cultural Pat ANT403H5SLEC0101,Xie,Winter,2019,42,44,43,4,43,43,37,42,,39,20,11,ANT403H5
ERIN,Building Global Justice UTM196H5SLEC0101,Simalchik,Winter,2019,42,43,43,43,43,4,23,41,,43,25,12,UTM196H5
ICC,Expressive Writing WRI203H5SLEC0103,Seth,Winter,2019,42,39,39,41,43,39,45,36,,4,28,11,WRI203H5
ICC,Social Media Content Creation WRI327H5SLEC0101,Sethi,Winter,2019,42,4,46,38,42,38,3,44,,44,35,5,WRI327H5
MCS,Intro to Comp Prog CSC108H5SLEC0102,Sharmin,Winter,2019,42,44,47,45,44,43,31,42,,41,156,36,CSC108H5
MCS,Intro Algebraic Cryptography MAT302H5SLEC0101,Tanase,Winter,2019,42,45,43,43,42,37,31,41,,41,39,15,MAT302H5
CHMPS,Chemical Synthesis Lab II CHM395H5SPRA0102,Strautmanis,Winter,2019,42,46,48,46,46,44,32,48,,46,10,5,CHM395H5
UMMGT,Fin Acct Theo Pol 1 MGT224H5SLEC0101,Thomas,Winter,2019,42,41,34,38,37,34,47,31,,35,37,18,MGT224H5
MCS,Experimental Design STA305H5SLEC0102,Thinniyam,Winter,2019,42,45,45,43,45,39,32,41,,39,62,13,STA305H5
HISCL,Museums and Material Religion RLG378H5SLEC0101,Richardson,Winter,2019,42,42,46,44,43,39,31,43,,4,29,13,RLG378H5
UMPOL,Politics  Govt USA POL203Y5YLEC0101,McAndrews,Winter,2019,42,44,45,43,43,39,33,41,,37,81,39,POL203Y5
UMPHL,Philosophy in Everyday Life PHL204H5SLEC0101,Pikkert,Winter,2019,42,44,45,42,42,42,25,41,,38,91,30,PHL204H5
FGI,LTL CrossCultural Communicat LIN486H5FLEC0101,Rehner,Fall,2018,42,42,44,4,43,4,26,44,,37,44,19,LIN486H5
ICC,Expressive Writing WRI203H5FLEC0101,Price,Fall,2018,42,46,45,44,46,41,42,4,,35,31,17,WRI203H5
ENGDR,Torontos Multicultural Lit ENG271H5FLEC0101,OFlynn,Fall,2018,42,43,42,41,44,42,33,43,,41,25,15,ENG271H5
FGI,Cucina ItalianaHist  Culture ITA235H5FLEC0101,Lobalsamo,Fall,2018,42,43,45,42,42,41,27,44,,41,94,42,ITA235H5
UMSOC,The Sociological Enterprise SOC230H5FLEC0101,Maghbouleh,Fall,2018,42,41,45,41,41,41,31,44,,41,48,15,SOC230H5
FGI,Classical Chinese CHI311H5FLEC0101,Ma,Fall,2018,42,44,46,45,46,42,27,45,,4,40,14,CHI311H5
UMBIO,Freshwater Ecology BIO333H5FLEC0101,McCauley,Fall,2018,42,45,46,44,44,43,34,45,,43,29,14,BIO333H5
MCS,Linear Algebra I MAT223H5FLEC0103,Thind,Fall,2018,42,44,45,42,42,4,36,38,,34,114,25,MAT223H5
ICC,Cultural Thry thrgh Board Game CCT419H5FLEC0101,Szigeti,Fall,2018,42,43,47,44,42,41,33,45,,4,33,27,CCT419H5
MCS,Operating Systems CSC369H5FLEC0101,Simion,Fall,2018,42,47,46,43,43,39,43,39,,33,44,11,CSC369H5
ENGDR,Medieval Drama ENG330H5FLEC0101,Scoville,Fall,2018,42,46,48,43,45,45,29,45,,37,45,32,ENG330H5
ICC,Career Strategies CCT473H5FLEC0101,Thung,Fall,2018,42,43,41,4,41,42,36,38,,41,40,11,CCT473H5
UMECO,Financial Economics I ECO358H5FLEC0101,Tian,Fall,2018,42,42,42,44,43,38,3,41,,39,62,20,ECO358H5
UMMGT,Big Data  Marketing Analysis MGT458H5FLEC0101,Trippen,Fall,2018,42,43,45,45,45,42,37,42,,42,36,20,MGT458H5
UMPSY,Gender and Sexual Development PSY317H5FLEC0101,VanderLaan,Fall,2018,42,42,41,38,38,38,34,39,,4,44,36,PSY317H5
MCS,Intro to Statistical Learning STA314H5FLEC0101,Volgushev,Fall,2018,42,43,35,42,41,36,33,38,,42,63,19,STA314H5
UMMGT,Management Control MGT428H5FLEC0103,Wahid,Fall,2018,42,42,44,44,42,39,29,39,,37,15,13,MGT428H5
UMMGT,Financial Modeling MGT441H5FLEC0101,Yung,Fall,2018,42,44,45,44,44,42,37,39,,44,18,11,MGT441H5
UMECO,World Eco Hist Prior to 1914 ECO302H5FLEC0101,Zammit,Fall,2018,42,45,45,42,44,42,34,4,,4,24,15,ECO302H5
ENGDR,Effective Writing ENG100H5FLEC0102,Janes,Summer,2018,42,43,47,43,43,38,35,4,,38,37,19,ENG100H5
UMSOC,Gender Crime and Justice SOC219H5FLEC0101,Schumann,Summer,2018,42,41,43,38,38,37,34,38,,39,113,34,SOC219H5
UMMGT,Management Acctg 1 MGT223H5FLEC0101,Falk,Summer,2018,42,45,47,44,44,39,32,41,,38,27,10,MGT223H5
UMGGR,Retail Geography GGR252H5FLEC0101,Aversa,Summer,2018,42,42,42,39,39,39,28,41,,4,67,17,GGR252H5
ICC,Expressive Writing WRI203H5FLEC0102,Allen,Summer,2018,42,44,46,43,44,39,35,44,,41,29,26,WRI203H5
MCS,Intro to Mathem Proofs MAT102H5YLEC0101,Fuchs,Summer,2018,42,46,44,44,41,39,36,32,,36,63,30,MAT102H5
MCS,Groups and Symmetries MAT301H5YLEC0101,Mousavidehshikh,Summer,2018,42,45,45,4,42,4,34,34,,35,56,27,MAT301H5
UMBIO,Diversity of Organisms BIO153H5SLEC0101,Nunes,Summer,2018,42,45,49,45,46,44,28,43,,4,35,27,BIO153H5
UMPSY,Intro to Social Psy PSY220H5SLEC0101,Urbszat,Summer,2018,42,43,41,38,4,4,32,41,,39,74,20,PSY220H5
UMPSY,Forensic Psychology PSY344H5SLEC0101,Urbszat,Summer,2018,42,46,43,4,4,36,32,41,,39,55,13,PSY344H5
MCS,Intro to Comp Science CSC148H5YLEC0102,Sharmin,Summer,2018,42,44,48,45,44,42,3,42,,42,66,17,CSC148H5
UMPOL,Methods POL242Y5YLEC0101,Denney,Summer,2018,42,46,49,42,45,41,35,32,,39,22,13,POL242Y5
ICC,Expressive Writing WRI203H5SLEC0102,Currie,Summer,2018,42,45,46,45,44,44,4,39,,39,21,12,WRI203H5
HISCL,Themes in Study of the Quran RLG351H5SLEC0101,Ally,Summer,2018,42,43,4,39,41,38,33,41,,42,42,22,RLG351H5
UMPSY,Behavioural Epigenetics PSY392H5FLEC0101,Zovkic,Fall,2018,42,43,38,34,35,35,36,36,,4,46,15,PSY392H5
UMGGR,Business Industrial Geography GGR325H5SLEC0101,Field,Winter,2018,42,43,42,43,43,39,34,41,,39,76,17,GGR325H5
UMGGR,Cities Urbanization  Develop GGR207H5SLEC0101,Walks,Winter,2018,42,43,47,44,45,43,32,42,,42,58,19,GGR207H5
ENGDR,Canadian Fiction ENG353Y5YLEC0101,Hill,Winter,2018,42,43,45,4,43,41,34,4,,39,43,24,ENG353Y5
ENGDR,Comics and the Graphic Novel ENG235H5SLEC0101,Scoville,Winter,2018,42,46,48,4,41,42,29,45,,39,108,53,ENG235H5
UMPSY,Animal Cognition PSY362H5SLEC0101,Martin,Winter,2018,42,42,4,33,37,33,27,33,,35,21,6,PSY362H5
UMMGT,Advanced Auditing MGT421H5SLEC0102,Thomas,Winter,2018,42,44,43,44,46,41,34,39,,41,50,12,MGT421H5
ANTRL,Agricultural Origins 2nd Rev ANT327H5SLEC0101,Gregg,Winter,2018,42,48,48,48,46,46,38,38,,26,26,5,ANT327H5
MCS,Algebra I MAT240H5SLEC0101,Thind,Winter,2018,42,44,44,41,42,4,4,36,,4,46,23,MAT240H5
ICC,Project Management MGD428H5FLEC0101,Szigeti,Summer,2018,42,46,48,44,44,44,31,43,,44,32,19,MGD428H5
UMBIO,Plant Development BIO353H5SLEC0101,Chatfield,Winter,2018,42,43,5,42,43,38,32,43,,4,13,6,BIO353H5
CHMPS,Org Chem Biol Compounds CHM347H5SLEC0101,Strautmanis,Winter,2018,42,4,4,35,38,36,38,34,,38,31,12,CHM347H5
UMPHL,Phil Human Sexuality PHL243H5SLEC0101,Piercy,Winter,2018,42,42,47,41,42,42,31,44,,37,60,22,PHL243H5
ENGDR,Making Love in the 16th Cent ENG301H5SLEC0101,Blake,Winter,2018,42,43,46,44,45,43,36,4,,38,37,32,ENG301H5
UMSOC,Shopping and Society SOC317H5SLEC0101,Lannigan,Winter,2018,42,45,45,43,43,42,29,42,,39,137,49,SOC317H5
UMMGT,Small Business Mgt MGT493H5SLEC0101,Yung,Winter,2018,42,46,48,44,46,44,34,43,,45,40,18,MGT493H5
UMGGR,QuantMethods II in Geography GGR376H5SLEC0101,Adams,Winter,2018,42,42,42,41,39,37,38,31,,37,43,17,GGR376H5
UMECO,Quant Methods in Eco ECO220Y5YLEC0201,Zammit,Winter,2018,42,38,46,44,44,38,34,38,,34,27,7,ECO220Y5
UMMGT,Prin of Marketing MGT252H5SLEC0103,Parhar,Winter,2018,42,44,48,44,46,46,3,46,,44,29,6,MGT252H5
UMMGT,Prin of Marketing MGT252H5SLEC0101,Landry,Winter,2018,42,43,43,43,43,41,31,43,,4,43,22,MGT252H5
MCS,Programming on the Web CSC309H5SLEC0101,Rosenbloom,Winter,2018,42,41,26,4,39,25,43,29,,35,50,13,CSC309H5
MCS,Calculus of Several Variables MAT233H5FLEC0101,Yusun,Fall,2017,42,43,47,43,43,41,33,4,,4,55,30,MAT233H5
MCS,Algorithm Design and Analysis CSC373H5FLEC0101,Maccio,Fall,2017,42,4,43,4,38,38,33,35,,35,96,34,CSC373H5
UMPSY,Abnormal Psy Adult Disorders PSY340H5FLEC0101,Morgan,Fall,2017,42,41,41,35,35,38,31,39,,39,90,36,PSY340H5
UMPHL,1718 Cen Philosophy PHL210Y5YLEC0101,Rozemond,Fall,2017,42,41,47,4,4,39,32,42,,41,86,24,PHL210Y5
FGI,Spanish for Beginners SPA100Y5YLEC0102,Bijos,Winter,2018,42,43,42,44,43,4,34,39,,39,77,30,SPA100Y5
ENGDR,Sp Topic in Canadian Lit ENG358H5SLEC0101,Wood,Winter,2018,42,44,43,4,43,4,31,37,,38,27,13,ENG358H5
MCS,Soft Tools  Sys Prog CSC209H5SLEC0101,Petersen,Winter,2018,42,42,39,38,37,34,45,3,,34,100,25,CSC209H5
